"","Name","Grade","Area","Country","First.Ascensionist","FA.date","Climber","Date","Style","Note","Source"
"1","Bibliographie","9c","Céüse","France","Alexander Megos","2020-08-05","Alexander Megos","2020-08-05","Redpoint","","https://www.grimper.com/news-alex-megos-enchaine-potentiel-9c-ceuse"
"2","Silence","9c","Flatanger","Norway","Adam Ondra","2017-09-03","Adam Ondra","2017-09-03","Redpoint","",""
"3","Change","9b+","Flatanger","Norway","Adam Ondra","2012-10-04","Adam Ondra","2012-10-04","Redpoint","",""
"4","Change","9b+","Flatanger","Norway","Adam Ondra","2012-10-04","Stefano Ghisolfi","2020-09-28","Redpoint","","https://www.planetmountain.com/en/news/climbing/stefano-ghisolfi-repeats-change-world-first-9b-plus-flatanger-norway.html"
"5","La Dura Dura","9b+","Oliana","Spain","Adam Ondra","2013-02-07","Adam Ondra","2013-02-07","Redpoint","",""
"6","La Dura Dura","9b+","Oliana","Spain","Adam Ondra","2013-02-07","Chris Sharma","2013-03-23","Redpoint","",""
"7","Perfecto Mundo","9b+","Margalef","Spain","Alexander Megos","2018-05-09","Alexander Megos","2018-05-09","Redpoint","",""
"8","Perfecto Mundo","9b+","Margalef","Spain","Alexander Megos","2018-05-09","Stefano Ghisolfi","2018-12-05","Redpoint","",""
"9","Perfecto Mundo","9b+","Margalef","Spain","Alexander Megos","2018-05-09","Jakob Schubert","2019-11-09","Redpoint","",""
"10","Vasil Vasil","9b+","Sloup","Czechia","Adam Ondra","2013-12-04","Adam Ondra","2013-12-04","Redpoint","",""
"11","La Rage d'Adam","9b/+","Verdon","France","Sébastien Bouin","2019-09-04","Sébastien Bouin","2019-09-04","Redpoint","",""
"12","Move","9b/+","Flatanger","Norway","Adam Ondra","2013-08-20","Adam Ondra","2013-08-20","Redpoint","",""
"13","Move","9b/+","Flatanger","Norway","Adam Ondra","2013-08-20","Sébastien Bouin","2019-06-17","Redpoint","",""
"14","Akira","9b","Vilhonneur","France","Fred Rouhling","1995","Fred Rouhling","1995","Redpoint","No current access. Disputed ascent",""
"15","Ali Hulk (extension total sit start)","9b","Rodellar","Spain","Jonatan Flor","2019-07-29","Jonatan Flor","2019-07-29","Redpoint","",""
"16","Ali Hulk (extension total sit start)","9b","Rodellar","Spain","Jonatan Flor","2019-07-29","Jorge Díaz-Rullo","2019-07-30","Redpoint","",""
"17","Ali Hulk (extension total sit start)","9b","Rodellar","Spain","Jonatan Flor","2019-07-29","Laura Rogora","2020-07-25","Redpoint","","https://www.grimper.com/news-ali-hulk-sit-extension-total-9b-laura-rogora"
"18","Ali Hulk (extension total sit start)","9b","Rodellar","Spain","Jonatan Flor","2019-07-29","Dani Fuertes","2020-09-20","Redpoint","","https://www.desnivel.com/escalada-roca/dani-fuertes-alcanza-el-9b-con-ali-hulk-extension-total-sit-start/"
"19","Ali Hulk (extension total sit start)","9b","Rodellar","Spain","Jonatan Flor","2019-07-29","Dave Graham","2020-09-29","Redpoint","","https://www.grimper.com/news-rodellar-38-ans-dave-graham-toujours-top"
"20","Ali Hulk (sitstart + extension)","9b","Rodellar","Spain","Dani Andrada","2007","Dani Andrada","2007","Redpoint","",""
"21","Ali Hulk (sitstart + extension)","9b","Rodellar","Spain","Dani Andrada","2007","Magnus Midtbø","2010-08","Redpoint","",""
"22","Ataxia hiperextension","9b","Crevillent","Spain","Jonathan Guadalcázar","2019-12-31","Jonathan Guadalcázar","2019-12-31","Redpoint","Extension of Ataxia extension...",""
"23","Chaxiraxi","9b","Oliana","Spain","Adam Ondra","2011-03-27","Adam Ondra","2011-03-27","Redpoint","",""
"24","CRS","9b","Mollans sur Ouvèze","France","Adam Ondra","2015-11-02","Adam Ondra","2015-11-02","Redpoint","",""
"25","Cryptography","9b","Saint-Loup","Switzerland","Alessandro Zeni","2020-05","Alessandro Zeni","2020-05","Redpoint","Link-up between Bain de sang and Bimbaluna",""
"26","Delincuente natural(extension)","9b","Rodellar","Spain","Dani Andrada","2008-09-13","Dani Andrada","2008-09-13","Redpoint","",""
"27","Disbelief","9b","Acéphale","Canada","Adam Ondra","2018-07","Adam Ondra","2018-07","Redpoint","",""
"28","Eagle-4","9b","Saint-Léger-du-Ventoux","France","Adam Ondra","2018-02-13","Adam Ondra","2018-02-13","Redpoint","",""
"29","Eagle-4","9b","Saint-Léger-du-Ventoux","France","Adam Ondra","2018-02-13","Hugo Parmentier","2020-01-18","Redpoint","",""
"30","Fight Club","9b","Raven's crag","Canada","Alexander Megos","2016-08-14","Alexander Megos","2016-08-14","Redpoint","Tried by Ondra, possibly harder after breakage",""
"31","Fight or Flight","9b","Oliana","Spain","Chris Sharma","2011-05-05","Chris Sharma","2011-05-05","Redpoint","",""
"32","Fight or Flight","9b","Oliana","Spain","Chris Sharma","2011-05-05","Adam Ondra","2013-02-10","Redpoint","",""
"33","Fight or Flight","9b","Oliana","Spain","Chris Sharma","2011-05-05","Jakob Schubert","2014-12-31","Redpoint","",""
"34","Fight or Flight","9b","Oliana","Spain","Chris Sharma","2011-05-05","Sachi Amma","2015-02","Redpoint","",""
"35","Fight or Flight","9b","Oliana","Spain","Chris Sharma","2011-05-05","Matty Hong","2018-05-02","Redpoint","",""
"36","Fight or Flight","9b","Oliana","Spain","Chris Sharma","2011-05-05","Piotr Schab","2019-04-26","Redpoint","",""
"37","First Round First Minute","9b","Margalef","Spain","Chris Sharma","2011-04-19","Chris Sharma","2011-04-19","Redpoint","",""
"38","First Round First Minute","9b","Margalef","Spain","Chris Sharma","2011-04-19","Adam Ondra","2014-02-03","Redpoint","",""
"39","First Round First Minute","9b","Margalef","Spain","Chris Sharma","2011-04-19","Alexander Megos","2015-12-31","Redpoint","",""
"40","First Round First Minute","9b","Margalef","Spain","Chris Sharma","2011-04-19","Stefano Ghisolfi","2017-01-30","Redpoint","",""
"41","Golpe de Estado","9b","Siurana","Spain","Chris Sharma","2008","Chris Sharma","2008","Redpoint","",""
"42","Golpe de Estado","9b","Siurana","Spain","Chris Sharma","2008","Adam Ondra","2010-03-13","Redpoint","Ondra broke a hold when working the route. Possibly harder than for FA",""
"43","Iron Curtain","9b","Flatanger","Norway","Adam Ondra","2013-08-03","Adam Ondra","2013-08-03","Redpoint","",""
"44","Jumbo love","9b","Clark Mountain","United States","Chris Sharma","2008-09-11","Chris Sharma","2008-09-11","Redpoint","",""
"45","Jumbo love","9b","Clark Mountain","United States","Chris Sharma","2008-09-11","Ethan Pringle","2015-05-17","Redpoint","",""
"46","Jumbo love","9b","Clark Mountain","United States","Chris Sharma","2008-09-11","Jonathan Siegrist","2018-05-17","Redpoint","",""
"47","La Barrière","9b","Jansegg","Switzerland","Pirmin Bertle","2018-08-26","Pirmin Bertle","2018-08-26","Redpoint","",""
"48","La Capella","9b","Siurana","Spain","Adam Ondra","2011-02-16","Adam Ondra","2011-02-16","Redpoint","",""
