"","Name","Grade","Area","Country","First.Ascensionist","FA.date","Ascents"
"1","Silence","9c","Flatanger","Norway","Adam Ondra","2017-09-03",1
"2","Change","9b+","Flatanger","Norway","Adam Ondra","2012-10-04",1
"3","La Dura Dura","9b+","Oliana","Spain","Adam Ondra","2013-02-07",2
"4","Vasil Vasil","9b+","Sloup","Czech","Adam Ondra","2013-12-04",1
"5","Perfecto Mundo","9b+","Margalef","Spain","Alexander Megos","2018-05-09",3
"6","Move","9b/+","Flatanger","Norway","Adam Ondra","2013-08-20",2
"7","La Rage d'Adam","9b/+","Verdon","France","Sébastien Bouin","2019-09-04",1
"8","Akira","9b","Vilhonneur","France","Fred Rouhling","1995",1
"9","Ali Hulk (sitstart + extension)","9b","Rodellar","Spain","Dani Andrada","2007",2
"10","Golpe de Estado","9b","Siurana","Spain","Chris Sharma","2008",2
"11","Jumbo love","9b","Clark Mountain","United States","Chris Sharma","2008-09-11",3
"12","Delincuente natural(extension)","9b","Rodellar","Spain","Dani Andrada","2008-09-13",1
"13","Neanderthal","9b","Santa Linya","Spain","Chris Sharma","2009-12-18",3
"14","La Capella","9b","Siurana","Spain","Adam Ondra","2011-02-16",4
"15","Chaxiraxi","9b","Oliana","Spain","Adam Ondra","2011-03-27",1
"16","La Planta de Shiva","9b","Villanueva del Rosario","Spain","Adam Ondra","2011-04-17",5
"17","First Round First Minute","9b","Margalef","Spain","Chris Sharma","2011-04-19",4
"18","Fight or Flight","9b","Oliana","Spain","Chris Sharma","2011-05-05",6
"19","Stoking the fire","9b","Santa Linya","Spain","Chris Sharma","2013-02-06",5
"20","Iron Curtain","9b","Flatanger","Norway","Adam Ondra","2013-08-03",1
"21","CRS","9b","Mollans sur Ouvèze","France","Adam Ondra","2015-11-02",1
"22","Lapsus","9b","Andonno","Italy","Stefano Ghisolfi","2015-11-02",2
"23","Fight Club","9b","Raven's crag","Canada","Alexander Megos","2016-08-14",1
"24","Robin úd","9b","Alternatívna stena","Slovakia","Adam Ondra","2016-10-05",1
"25","Mamichula","9b","Oliana","Spain","Adam Ondra","2017-02-02",2
"26","Queen Line","9b","Arco","Italy","Adam Ondra","2017-04-18",2
"27","Rainman","9b","Malham Cove","United Kingdom","Steve McClure","2017-06-04",1
"28","Move Hard","9b","Flatanger","Norway","Adam Ondra","2017-07-10",1
"29","One Slap","9b","Arco","Italy","Adam Ondra","2017-11-13",2
"30","Eagle 4","9b","Saint-Léger-du-Ventoux","France","Adam Ondra","2018-02-13",2
"31","Soul Mate","9b","Okutama","Japan","Sachi Amma","2018-03",1
"32","Disbelief","9b","Acéphale","Canada","Adam Ondra","2018-07",1
"33","La Barrière","9b","Jansegg","Swiss","Pirmin Bertle","2018-08-26",1
"34","Ali Hulk (extension total sit start)","9b","Rodellar","Spain","Jonatan Flor","2019-07-29",2
"35","Apocalipsis de la Gioconda","9b","Rodellar","Spain","Jonatan Flor","2019-08-26",1
"36","The Dream","9b","Brar","Albania","Sébastien Bouin","2019-12-16",1
"37","Ataxia hiperextension","9b","Crevillent","Spain","Jonathan Guadalcázar","2019-12-31",1
"38","Marina Superstar","9a+/b","Domusnovas","Italy","Adam Ondra","2009-10",1
"39","Catxasa (R2)","9a+/b","Santa Linya","Spain","Ramón Julián Puigblanqué","2012-06-29",1
"40","Torture physique","9a+/b","Gastlösen","Swiss","Adam Ondra","2013-07",1
"41","Following the Leader","9a+/b","Cuenca","Spain","Pablo Barbero","2014-11",1
"42","El bon combat","9a+/b","Cova de l'Ocell–Sant Miquel del Fai","Spain","Chris Sharma","2015-03-07",3
